,Feature name,Decision Tree,XGBoost
193,x4_718 Cayman,2.8297180633023574e-05,0.0
1035,x4_Trafic,2.8289469950815716e-05,0.0
1113,x4_XC 40,2.8127220194926644e-05,0.0
614,x4_Impreza,2.771962953376341e-05,0.0
1038,x4_Transit,2.7614374690656716e-05,0.0
220,x4_A3,2.680900717401191e-05,0.0
526,x4_Focus,2.6280558505319526e-05,0.0
895,x4_S90,2.5971592340321743e-05,0.0
989,x4_T-Roc,2.586690268795345e-05,0.0
666,x4_LS,2.558658887534689e-05,0.0
263,x4_Ateca,2.539693091327063e-05,0.0
796,x4_Polo,2.5382908786733955e-05,0.0
592,x4_H2,2.5006233429236472e-05,0.0
807,x4_ProAce,2.4819867734840244e-05,0.0
1019,x4_Tiguan Allspace,2.448426321828808e-05,0.0
626,x4_Jimny,2.4310865219899462e-05,0.0
552,x4_GT,2.4246009433196206e-05,0.0
808,x4_Pro_cee'd,2.4075545388453145e-05,0.0
440,x4_DS 7 Crossback,2.3952794018838517e-05,0.0
345,x4_CR-V,2.3797977911789482e-05,0.0
902,x4_SQ5,2.3332923083161513e-05,0.0
976,x4_Stinger,2.2987688785404118e-05,0.0
343,x4_CLK,2.272094206888342e-05,0.0
353,x4_CX-5,2.2393989809120667e-05,0.0
23,x3_Citroën,2.194421848813233e-05,0.0
505,x4_F-Type,2.193306307074076e-05,0.0
1215,x10_Hiszpania,2.149845602879938e-05,0.0
281,x4_B6,2.1489267286981543e-05,0.0
962,x4_Sorento,2.1479527017560637e-05,0.0
782,x4_Partner,2.1177724098738872e-05,0.0
465,x4_E-Pace,2.117653083982291e-05,0.0
458,x4_Discovery Sport,2.1044491221391092e-05,0.0
886,x4_S4,2.0990756123575397e-05,0.0
225,x4_A6 Allroad,2.079228023956428e-05,0.0
890,x4_S60,2.0748274823165915e-05,0.0
249,x4_Amarok,2.0713129768513253e-05,0.0
1088,x4_WRX,2.058378466238755e-05,0.0
367,x4_Captur,2.0293474337635332e-05,0.0
699,x4_M2,2.008685787248481e-05,0.0
145,x4_3008,1.9786613644645795e-05,0.0
191,x4_6GT,1.9439391624256063e-05,0.0
965,x4_SpaceTourer,1.9381697424478435e-05,0.0
684,x4_Leon Sportstourer,1.9303321346763514e-05,0.0
